DT50,KOC,Freundlich,Rate,Scenario,Result
80,685,0.7,1455,2,0.0
80,685,0.7,1455,3,0.0
80,685,0.7,1455,4,0.0
80,685,0.7,1455,5,0.0
80,685,0.7,1455,6,0.0
80,685,0.7,1455,7,0.0
80,685,0.7,1455,8,0.0
80,685,0.7,1455,9,0.0
185,1345,0.7,35,1,0.0
185,1345,0.7,35,2,0.0
185,1345,0.7,35,3,0.0
185,1345,0.7,35,4,0.0
185,1345,0.7,35,5,0.0
185,1345,0.7,35,6,0.0
185,1345,0.7,35,7,0.0
185,1345,0.7,35,8,0.0
185,1345,0.7,35,9,0.0
150,1835,0.7,415,1,0.0
150,1835,0.7,415,2,0.0
150,1835,0.7,415,3,0.0
150,1835,0.7,415,4,0.0
150,1835,0.7,415,5,0.0
150,1835,0.7,415,6,0.0
150,1835,0.7,415,7,0.0
150,1835,0.7,415,8,0.0
150,1835,0.7,415,9,0.0
135,1645,1.1,1265,1,0.021
135,1645,1.1,1265,2,0.239
135,1645,1.1,1265,3,0.042
135,1645,1.1,1265,4,0.237
135,1645,1.1,1265,5,0.392
135,1645,1.1,1265,6,0.227
135,1645,1.1,1265,7,0.203
135,1645,1.1,1265,8,0.0
135,1645,1.1,1265,9,0.006999999999999999
90,1155,0.95,1625,1,0.0
90,1155,0.95,1625,2,0.0
90,1155,0.95,1625,3,0.0
90,1155,0.95,1625,4,0.0
90,1155,0.95,1625,5,0.001
90,1155,0.95,1625,6,0.0
90,1155,0.95,1625,7,0.0
90,1155,0.95,1625,8,0.0
90,1155,0.95,1625,9,0.0
40,715,1.0,1095,1,0.0
40,715,1.0,1095,2,0.001
40,715,1.0,1095,3,0.0
40,715,1.0,1095,4,0.001
40,715,1.0,1095,5,0.001
40,715,1.0,1095,6,0.001
40,715,1.0,1095,7,0.0
40,715,1.0,1095,8,0.0
40,715,1.0,1095,9,0.0
135,45,1.0,505,1,66.10600000000001
135,45,1.0,505,2,86.381
135,45,1.0,505,3,81.137
135,45,1.0,505,4,68.273
135,45,1.0,505,5,55.897
135,45,1.0,505,6,60.37600000000001
135,45,1.0,505,7,47.022
135,45,1.0,505,8,28.718000000000004
135,45,1.0,505,9,47.903
40,835,1.0,1165,1,0.0
40,835,1.0,1165,2,0.0
40,835,1.0,1165,3,0.0
40,835,1.0,1165,4,0.0
40,835,1.0,1165,5,0.0
40,835,1.0,1165,6,0.0
40,835,1.0,1165,7,0.0
40,835,1.0,1165,8,0.0
40,835,1.0,1165,9,0.0
10,1075,0.85,1215,1,0.0
10,1075,0.85,1215,2,0.0
10,1075,0.85,1215,3,0.0
10,1075,0.85,1215,4,0.0
10,1075,0.85,1215,5,0.0
10,1075,0.85,1215,6,0.0
10,1075,0.85,1215,7,0.0
10,1075,0.85,1215,8,0.0
10,1075,0.85,1215,9,0.0
95,455,0.85,1975,1,0.0
95,455,0.85,1975,2,0.009000000000000001
95,455,0.85,1975,3,0.0
95,455,0.85,1975,4,0.004
95,455,0.85,1975,5,0.028
95,455,0.85,1975,6,0.006
95,455,0.85,1975,7,0.004
95,455,0.85,1975,8,0.0
95,455,0.85,1975,9,0.0
155,1155,1.0,1435,1,0.002
155,1155,1.0,1435,2,0.157
155,1155,1.0,1435,3,0.004
155,1155,1.0,1435,4,0.145
155,1155,1.0,1435,5,0.335
155,1155,1.0,1435,6,0.16
155,1155,1.0,1435,7,0.13
155,1155,1.0,1435,8,0.0
155,1155,1.0,1435,9,0.0
115,195,1.05,285,1,4.303
115,195,1.05,285,2,10.027
115,195,1.05,285,3,6.266
115,195,1.05,285,4,7.657999999999999
115,195,1.05,285,5,8.734
115,195,1.05,285,6,6.7429999999999986
115,195,1.05,285,7,6.11
115,195,1.05,285,8,0.426
115,195,1.05,285,9,2.463
60,555,0.8,1945,1,0.0
60,555,0.8,1945,2,0.0
60,555,0.8,1945,3,0.0
60,555,0.8,1945,4,0.0
60,555,0.8,1945,5,0.0
60,555,0.8,1945,6,0.0
60,555,0.8,1945,7,0.0
60,555,0.8,1945,8,0.0
60,555,0.8,1945,9,0.0
130,1925,1.1,175,1,0.003
130,1925,1.1,175,2,0.034
130,1925,1.1,175,3,0.006999999999999999
130,1925,1.1,175,4,0.034
130,1925,1.1,175,5,0.054000000000000006
130,1925,1.1,175,6,0.032
130,1925,1.1,175,7,0.028
130,1925,1.1,175,8,0.0
130,1925,1.1,175,9,0.001
25,355,0.95,825,1,0.0
25,355,0.95,825,2,0.0
25,355,0.95,825,3,0.0
25,355,0.95,825,4,0.0
25,355,0.95,825,5,0.0
25,355,0.95,825,6,0.0
25,355,0.95,825,7,0.0
25,355,0.95,825,8,0.0
25,355,0.95,825,9,0.0
70,375,1.1,105,1,0.13699999999999998
70,375,1.1,105,2,0.627
70,375,1.1,105,3,0.304
70,375,1.1,105,4,0.495
